,Feeder_Category,CABLE_SIZE,No_of_times_exceeded_60_,LENGTH_OF_CABLE_MTRS_,NO__OF_JOINTS,AGE_YRS_,PILC,XLPE,DATE_ONLY,Average_Current,Peak_Current,Average_voltage,Peak_Voltage,target,Avg_Heat_Index,Peak_HI,Avg_humidity,Max_Humidity,Avg_TEMP,Max_TEMP,New_Summer,New_Monsoon,New_Winter,Feeder,Switch,Section Id,Pathid,Lat,Long,Feeder_Switch_ID_V1
19,2,1,4,1092.0,10.0,5.0,0,1,22-04-2016,155.7604167,195.0,11.12270833,11.32,0,32.97310132,38.04778183,79.72947917,86.26,28.39802083,30.79,1,0,0,30462,10499,30462-10499-6,FanasWadi,19.9198937,72.87751523,30462_10499_20
20,0,1,0,1418.4,4.0,7.0,0,1,23-04-2016,9.084375,18.85,11.06302083,11.22,1,34.04847904,40.68694499,80.5246875,85.18,28.70791667,31.6,1,0,0,30462,10499,30462-10499-6,ChippiChawl,19.9129437,72.87707253,30462_10499_21
21,0,1,7,1615.5,5.0,5.0,0,1,24-04-2016,156.0,208.24,10.9825,11.24,0,33.42459015,39.44511368,80.1521875,85.62,28.52385417,31.45,1,0,0,30462,10499,30462-10499-6,ZaveriBazaar,19.9059467,72.87597883,30462_10499_22
22,0,2,3,1380.0,16.0,32.0,1,1,28-04-2016,6.548229167,132.96,10.97885417,11.26,1,39.09205901,48.34911516,73.78604167,85.82,31.093125,34.82,1,0,0,30462,10499,30462-10499-6,Gaiwadi,19.8906737,72.87571273,30462_10499_23
23,1,0,0,1003.0,3.0,20.0,1,0,29-04-2016,0.078125,0.1,0.0,0.0,1,36.12257558,43.38753868,74.1734375,82.41,30.06697917,33.78,1,0,0,30462,10499,30462-10499-6,Pungeswari,19.8774177,72.87621803,30462_10499_24
24,0,2,7,1139.9,7.0,22.75098814229249,1,1,29-04-2016,11.13635417,144.21,10.9915625,11.28,1,36.12257558,43.38753868,74.1734375,82.41,30.06697917,33.78,1,0,0,30462,10499,30462-10499-6,Thakurdwar,19.9094737,72.87946903,30462_10499_25
25,1,0,0,920.6,5.0,20.0,1,0,29-04-2016,0.078125,0.1,0.0,0.0,1,36.12257558,43.38753868,74.1734375,82.41,30.06697917,33.78,1,0,0,30462,10501,10501-7990-2,LoharChawl,19.8854707,72.87391213,30462_10501_26
26,0,1,0,438.05,4.0,3.0,0,1,30-04-2016,30.32236559,39.42,11.01822917,11.23,0,37.76338687,45.48431684,82.98260417,92.52,29.884375,34.12,1,0,0,30462,10501,10501-7990-2,Bhangwadi,19.8791297,72.87479403,30462_10501_27
27,1,0,0,2173.8,11.0,15.0,1,0,01-05-2016,0.1,0.1,10.97885417,11.2,0,36.50485574,44.31631661,83.7559375,92.89,29.41020833,33.01,1,0,0,30462,10501,10501-7990-2,Bhangwadi,19.3379794,72.875306,30462_10501_28
28,2,0,0,835.1,8.0,15.0,1,1,14-05-2016,42.11104167,56.42,11.071875,11.29,0,42.27717774,49.41314651,86.45104167,92.75,30.7840625,33.58,1,0,0,30462,10501,10501-7990-2,Sonapur,19.3399794,72.875316,30462_10501_29
